sepal_length	sepal_width	petal_length	petal_width	species
5.733377591	3.507524557	1.812936185	0.825699555	setosa
5.069509671	3.068742637	1.53250256	0.532728819	setosa
4.809005899	4.036619101	2.036261924	1.11784081	setosa
5.087062074	3.398343725	2.01336874	1.09154536	setosa
5.994396146	3.76554313	2.279670462	0.284661385	setosa
5.631349986	4.572483737	2.370294828	0.579020408	setosa
4.665067744	3.906735086	2.015990446	1.231579187	setosa
5.161424833	3.963775583	2.09540926	0.653640577	setosa
4.40915073	3.121527824	2.195951338	0.207641711	setosa
5.851631422	3.731563441	1.682482821	0.501697535	setosa
5.528740861	4.650017531	2.36272951	1.016611515	setosa
5.529646532	4.314597543	2.013363981	1.112693414	setosa
5.342379194	3.387297227	2.185617063	0.937840625	setosa
4.827646571	3.074477139	1.890719004	0.727586355	setosa
6.524493206	4.457298938	2.09723408	0.390292133	setosa
6.591263783	4.956658506	2.185073474	1.241231823	setosa
6.191157884	4.32488179	1.346245275	1.350376565	setosa
5.766371404	3.834215253	2.364029284	1.194945049	setosa
5.805018177	4.531238575	2.055874343	0.796980651	setosa
5.983634002	4.622136162	1.861726781	1.120670171	setosa
5.804002884	4.250095375	2.695146855	1.091996164	setosa
5.947463482	4.499256366	2.137084433	0.836212262	setosa
5.206152171	3.620780197	1.965129937	1.141504396	setosa
5.112631539	3.887624128	2.591283128	0.992846131	setosa
5.136256649	3.655793112	2.521019966	0.863583433	setosa
5.175273186	3.065279923	1.948823255	0.650519328	setosa
5.082587166	3.404158901	2.425229185	0.514627803	setosa
5.768790867	3.728306304	1.996012602	1.00118629	setosa
6.199696601	4.310084937	1.650908048	1.036834313	setosa
5.602615531	4.189733581	1.696062102	0.878010004	setosa
5.160640381	3.855000489	2.391179648	0.668444785	setosa
5.421674269	3.514906546	1.941754169	1.259850269	setosa
5.234705959	4.751279749	2.072917512	0.990323418	setosa
6.26305785	4.839036827	1.572416971	0.732832541	setosa
5.273352197	3.479877243	2.363472979	0.304987973	setosa
5.62326663	3.766077315	1.456308682	0.861368125	setosa
6.230708003	3.782634276	1.963938935	0.529994611	setosa
5.814919983	3.888949914	2.452339297	0.712433415	setosa
4.792013986	3.107231836	1.912734837	0.454416577	setosa
5.171177321	3.616089795	1.940671116	0.455659317	setosa
5.818780399	4.343841094	2.023873841	0.495197584	setosa
4.876186586	3.085430673	1.6703971	0.844939969	setosa
4.765359577	3.726078405	2.138746545	0.983327078	setosa
5.025298094	3.902459068	2.336997026	1.326748279	setosa
5.171015937	3.878431205	2.855477263	0.839718148	setosa
5.577485512	3.345685738	2.043963629	0.514234752	setosa
5.549529686	4.076611585	1.894442652	1.16691562	setosa
5.461081955	3.857837533	1.571044811	1.047765615	setosa
5.3124674	4.087780218	1.603092089	0.657257528	setosa
5.994477744	3.943070966	1.701051452	1.039311556	setosa
7.268791823	3.328405459	4.965283416	1.756960643	versicolor
7.107587398	4.09386651	4.6687572	2.486603083	versicolor
7.455397425	3.906934321	5.718641974	2.020665777	versicolor
5.538989003	3.02973361	4.112095181	1.53299441	versicolor
7.176053578	2.806395932	4.842118466	1.821779897	versicolor
5.971625388	3.432761629	4.984042148	2.194592843	versicolor
7.034802892	3.461400827	5.07958412	1.971965622	versicolor
5.690902341	3.213624081	3.330910817	1.918645619	versicolor
6.959562347	3.208237901	5.466963179	1.551559128	versicolor
5.965740202	3.638849316	4.479078889	1.79865739	versicolor
5.114426973	2.307928043	3.903387301	1.26516281	versicolor
6.151777278	3.898358255	4.874841566	2.102992873	versicolor
6.384209009	2.419199824	4.705624049	1.982437259	versicolor
