sepal_length	sepal_width	petal_length	petal_width	species
5.181901238	3.538803408	1.459310799	0.267185988	setosa
4.932139233	3.026481524	1.477291253	0.245272303	setosa
4.723676383	3.229340432	1.322704457	0.224661232	setosa
4.62726996	3.189907855	1.502321879	0.212407368	setosa
5.045985695	3.666003708	1.493921124	0.250533282	setosa
5.428627695	3.997047429	1.722570856	0.438613068	setosa
4.686685008	3.40816605	1.417067714	0.330530165	setosa
5.038173381	3.434131907	1.546127426	0.229841967	setosa
4.494609961	2.921618745	1.497453595	0.241829921	setosa
4.928696059	3.170730244	1.541416299	0.136114461	setosa
5.433112124	3.769968568	1.592573528	0.222719008	setosa
4.80152452	3.485458429	1.692384023	0.283675987	setosa
4.86671349	3.0864517	1.461381122	0.129126262	setosa
4.352939708	3.04596299	1.179749026	0.192036006	setosa
5.894968114	4.026648436	1.299305741	0.257595829	setosa
5.732704274	4.490407426	1.588046037	0.485512724	setosa
5.414526622	3.96459963	1.345998342	0.482563127	setosa
5.153043552	3.579402932	1.445375076	0.319131248	setosa
5.777492153	3.852535735	1.794541495	0.358109868	setosa
5.153185415	3.811653027	1.574119051	0.376583996	setosa
5.443240396	3.499884215	1.763570856	0.226352383	setosa
5.133429664	3.772356799	1.536751866	0.44195288	setosa
4.634675329	3.648786823	1.022702707	0.260343695	setosa
5.153477953	3.346301588	1.795743869	0.562897835	setosa
4.839723549	3.416849123	1.946558197	0.231752147	setosa
5.04815494	3.03080465	1.622013658	0.265559419	setosa
5.015683975	3.408409073	1.628690676	0.470068862	setosa
5.261562571	3.50322664	1.552950843	0.237500402	setosa
5.221527664	3.445871967	1.469849027	0.257166606	setosa
4.762637981	3.285206283	1.672552124	0.258439512	setosa
4.865671476	3.182880853	1.674751142	0.22412154	setosa
5.441749147	3.438894003	1.578170639	0.457448782	setosa
5.235428404	4.174553553	1.506719842	0.118817507	setosa
5.515985555	4.254317963	1.438543547	0.225631783	setosa
4.928745985	3.142413707	1.542273294	0.114219765	setosa
5.021672727	3.282875928	1.281163295	0.221473283	setosa
5.535425407	3.513153552	1.397326861	0.255001255	setosa
4.952856763	3.159708233	1.585359443	0.120292879	setosa
4.491627428	3.070116762	1.364616754	0.286441795	setosa
5.162242105	3.495061519	1.509413529	0.203337297	setosa
5.064475879	3.517787193	1.307866848	0.317414938	setosa
4.511157471	2.320851213	1.319746906	0.309422654	setosa
4.413476858	3.295276056	1.352532878	0.233067831	setosa
5.070910096	3.544015052	1.618282018	0.646753366	setosa
5.184535161	3.899252764	1.957319486	0.406673975	setosa
4.814925956	3.076507913	1.459444162	0.368087617	setosa
5.164391473	3.899267711	1.619288304	0.286506435	setosa
4.631057718	3.21885215	1.496716444	0.231129294	setosa
5.358795597	3.726525172	1.587578019	0.255459	setosa
5.028940228	3.336923475	1.427031173	0.204650944	setosa
7.096382295	3.268595957	4.74805376	1.435090085	versicolor
6.446759066	3.2456213	4.501518183	1.59112991	versicolor
6.985692448	3.165514479	4.956351029	1.562545167	versicolor
5.531196377	2.385366848	4.042417272	1.329352726	versicolor
6.566812546	2.872800032	4.664396301	1.552834512	versicolor
5.752767972	2.873673883	4.595649863	1.309590249	versicolor
6.349157756	3.333954694	4.729539033	1.672187421	versicolor
4.95201592	2.426078835	3.340694994	1.027364923	versicolor
6.668781997	2.952654012	4.660654361	1.309524506	versicolor
5.268983074	2.745215502	3.97092465	1.408648816	versicolor
5.098492972	2.071554488	3.59327141	1.039443311	versicolor
5.911117205	3.019019777	4.280960008	1.57539777	versicolor
6.02124835	2.21245202	4.086144787	1.098249819	versicolor
6.129764485	2.935003798	4.795940655	1.42098268	versicolor
5.668201513	2.979252235	3.644650488	1.348551723	versicolor
6.772436393	3.181084284	4.464585632	1.457406578	versicolor
5.670755063	3.046545961	4.517715709	1.515028878	versicolor
5.883985809	2.780791702	4.178143057	1.084729425	versicolor
6.23807858	2.298550562	4.580240424	1.560171618	versicolor
5.601535921	2.525279498	3.973359039	1.164048362	versicolor
5.990615678	3.271634445	4.898683816	1.825825163	versicolor
6.168591477	2.891796619	4.057896577	1.307161671	versicolor
6.371265193	2.551708613	4.970373855	1.537287958	versicolor
6.150874619	2.82132719	4.779000739	1.235810166	versicolor
6.47045651	2.910619278	4.38771534	1.395999325	versicolor
6.654068188	3.083777959	4.472454195	1.462709012	versicolor
6.859757569	2.867426751	4.812748524	1.456139093	versicolor
6.776864941	3.023834209	5.057718269	1.748271358	versicolor
6.029006812	2.978659867	4.50310727	1.516626949	versicolor
5.707899587	2.676873471	3.518452499	1.094464503	versicolor
5.569246	2.402343915	3.809721203	1.150956074	versicolor
5.518567031	2.461037896	3.753053185	1.019983349	versicolor
5.803767415	2.712683692	3.942033702	1.201218458	versicolor
6.096140361	2.799796651	5.182009828	1.667144894	versicolor
5.431976895	3.090793551	4.504791977	1.592699142	versicolor
6.020934782	3.499773343	4.544667003	1.614333464	versicolor
6.71102119	3.17562952	4.761932979	1.567395583	versicolor
6.343533951	2.337110244	4.400734239	1.399983223	versicolor
5.620477389	3.037324778	4.117808965	1.388452302	versicolor
5.50782603	2.507024743	4.097522464	1.358856705	versicolor
5.559434754	2.673776804	4.404818979	1.22691973	versicolor
6.101539198	3.068571723	4.680189684	1.428303608	versicolor
5.861152824	2.694836168	4.020371765	1.233026645	versicolor
5.03918328	2.364762111	3.351107617	1.085082629	versicolor
5.60021	2.742439244	4.257571722	1.379772622	versicolor
5.757066389	3.087343186	4.240978237	1.285480286	versicolor
