             Df Sum Sq Mean Sq F value  Pr(>F)    
SL            1  352.5   352.5 507.982 < 2e-16 ***
SZ            1    2.9     2.9   4.199 0.04223 *  
SL:SZ         1    7.1     7.1  10.256 0.00167 ** 
Residuals   146  101.3     0.7                    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
[1] "goodbye Greg...leaving R"
[1] "hello Greg...welcome to R"
     SL  SW  PL  PW         Sp    SZ
1   5.1 3.5 1.4 0.2     setosa 18.13
2   4.9 3.0 1.4 0.2     setosa 14.98
3   4.7 3.2 1.3 0.2     setosa 15.30
4   4.6 3.1 1.5 0.2     setosa 14.56
5   5.0 3.6 1.4 0.2     setosa 18.28
6   5.4 3.9 1.7 0.4     setosa 21.74
7   4.6 3.4 1.4 0.3     setosa 16.06
8   "https://cran.rstudio.com/" 3.4 1.5 0.2     setosa 17.30
9   4.4 2.9 1.4 0.2     setosa 13.04
10  4.9 3.1 1.5 0.1     setosa 15.34
11  5.4 3.7 1.5 0.2     setosa 20.28
12  4.8 3.4 1.6 0.2     setosa 16.64
13  4.8 3.0 1.4 0.1     setosa 14.54
14  4.3 3.0 1.1 0.1     setosa 13.01
15  5.8 4.0 1.2 0.2     setosa 23.44
16  5.7 4.4 1.5 0.4     setosa 25.68
17  5.4 3.9 1.3 0.4     setosa 21.58
18  5.1 3.5 1.4 0.3     setosa 18.27
19  5.7 3.8 1.7 0.3     setosa 22.17
20  5.1 3.8 1.5 0.3     setosa 19.83
21  5.4 3.4 1.7 0.2     setosa 18.70
22  5.1 3.7 1.5 0.4     setosa 19.47
23  4.6 3.6 1.0 0.2     setosa 16.76
24  5.1 3.3 1.7 0.5     setosa 17.68
25  4.8 3.4 1.9 0.2     setosa 16.70
26  5.0 3.0 1.6 0.2     setosa 15.32
27  5.0 3.4 1.6 0.4     setosa 17.64
28  5.2 3.5 1.5 0.2     setosa 18.50
29  5.2 3.4 1.4 0.2     setosa 17.96
30  4.7 3.2 1.6 0.2     setosa 15.36
31  4.8 3.1 1.6 0.2     setosa 15.20
32  5.4 3.4 1.5 0.4     setosa 18.96
33  5.2 4.1 1.5 0.1     setosa 21.47
34  5.5 4.2 1.4 0.2     setosa 23.38
35  4.9 3.1 1.5 0.1     setosa 15.34
36  5.0 3.2 1.2 0.2     setosa 16.24
37  5.5 3.5 1.3 0.2     setosa 19.51
38  4.9 3.1 1.5 0.1     setosa 15.34
39  4.4 3.0 1.3 0.2     setosa 13.46
40  5.1 3.4 1.5 0.2     setosa 17.64
41  5.0 3.5 1.3 0.3     setosa 17.89
42  4.5 2.3 1.3 0.3     setosa 10.74
43  4.4 3.2 1.3 0.2     setosa 14.34
44  5.0 3.5 1.6 0.6     setosa 18.46
45  5.1 3.8 1.9 0.4     setosa 20.14
46  4.8 3.0 1.4 0.3     setosa 14.82
47  5.1 3.8 1.6 0.2     setosa 19.70
48  4.6 3.2 1.4 0.2     setosa 15.00
49  5.3 3.7 1.5 0.2     setosa 19.91
50  5.0 3.3 1.4 0.2     setosa 16.78
51  7.0 3.2 4.7 1.4 versicolor 28.98
52  6.4 3.2 4.5 1.5 versicolor 27.23
53  6.9 3.1 4.9 1.5 versicolor 28.74
54  5.5 2.3 4.0 1.3 versicolor 17.85
55  6.5 2.8 4.6 1.5 versicolor 25.10
56  5.7 2.8 4.5 1.3 versicolor 21.81
57  6.3 3.3 4.7 1.6 versicolor 28.31
58  4.9 2.4 3.3 1.0 versicolor 15.06
59  6.6 2.9 4.6 1.3 versicolor 25.12
60  5.2 2.7 3.9 1.4 versicolor 19.50
61  5.0 2.0 3.5 1.0 versicolor 13.50
62  5.9 3.0 4.2 1.5 versicolor 24.00
63  6.0 2.2 4.0 1.0 versicolor 17.20
64  6.1 2.9 4.7 1.4 versicolor 24.27
65  5.6 2.9 3.6 1.3 versicolor 20.92
66  6.7 3.1 4.4 1.4 versicolor 26.93
67  5.6 3.0 4.5 1.5 versicolor 23.55
68  5.8 2.7 4.1 1.0 versicolor 19.76
69  6.2 2.2 4.5 1.5 versicolor 20.39
70  5.6 2.5 3.9 1.1 versicolor 18.29
71  5.9 3.2 4.8 1.8 versicolor 27.52
72  6.1 2.8 4.0 1.3 versicolor 22.28
73  6.3 2.5 4.9 1.5 versicolor 23.10
74  6.1 2.8 4.7 1.2 versicolor 22.72
75  6.4 2.9 4.3 1.3 versicolor 24.15
76  6.6 3.0 4.4 1.4 versicolor 25.96
77  6.8 2.8 4.8 1.4 versicolor 25.76
78  6.7 3.0 5.0 1.7 versicolor 28.60
79  6.0 2.9 4.5 1.5 versicolor 24.15
80  5.7 2.6 3.5 1.0 versicolor 18.32
81  5.5 2.4 3.8 1.1 versicolor 17.38
82  5.5 2.4 3.7 1.0 versicolor 16.90
83  5.8 2.7 3.9 1.2 versicolor 20.34
84  6.0 2.7 5.1 1.6 versicolor 24.36
85  5.4 3.0 4.5 1.5 versicolor 22.95
86  6.0 3.4 4.5 1.6 versicolor 27.60
87  6.7 3.1 4.7 1.5 versicolor 27.82
88  6.3 2.3 4.4 1.3 versicolor 20.21
89  5.6 3.0 4.1 1.3 versicolor 22.13
90  5.5 2.5 4.0 1.3 versicolor 18.95
91  5.5 2.6 4.4 1.2 versicolor 19.58
92  6.1 3.0 4.6 1.4 versicolor 24.74
93  5.8 2.6 4.0 1.2 versicolor 19.88
94  5.0 2.3 3.3 1.0 versicolor 14.80
95  5.6 2.7 4.2 1.3 versicolor 20.58
96  5.7 3.0 4.2 1.2 versicolor 22.14
97  5.7 2.9 4.2 1.3 versicolor 21.99
98  6.2 2.9 4.3 1.3 versicolor 23.57
99  5.1 2.5 3.0 1.1 versicolor 16.05
100 5.7 2.8 4.1 1.3 versicolor 21.29
101 6.3 3.3 6.0 2.5  virginica 35.79
102 5.8 2.7 5.1 1.9  virginica 25.35
103 7.1 3.0 5.9 2.1  virginica 33.69
104 6.3 2.9 5.6 1.8  virginica 28.35
105 6.5 3.0 5.8 2.2  virginica 32.26
106 7.6 3.0 6.6 2.1  virginica 36.66
107 4.9 2.5 4.5 1.7  virginica 19.90
108 7.3 2.9 6.3 1.8  virginica 32.51
109 6.7 2.5 5.8 1.8  virginica 27.19
110 7.2 3.6 6.1 2.5  virginica 41.17
111 6.5 3.2 5.1 2.0  virginica 31.00
112 6.4 2.7 5.3 1.9  virginica 27.35
113 6.8 3.0 5.5 2.1  virginica 31.95
114 5.7 2.5 5.0 2.0  virginica 24.25
115 5.8 2.8 5.1 2.4  virginica 28.48
116 6.4 3.2 5.3 2.3  virginica 32.67
117 6.5 3.0 5.5 1.8  virginica 29.40
118 7.7 3.8 6.7 2.2  virginica 44.00
