
	One-way analysis of means (not assuming equal variances)

data:  SL and Sp
F = 138.91, num df = 2.000, denom df = 92.211, p-value <
2.2e-16


	One-way analysis of means (not assuming equal variances)

data:  SW and Sp
F = 43.303, num df = 2.00, denom df = 97.37, p-value = 3.52e-14


	One-way analysis of means (not assuming equal variances)

data:  PL and Sp
F = 1826.6, num df = 2.000, denom df = 78.055, p-value <
2.2e-16


	One-way analysis of means (not assuming equal variances)

data:  PW and Sp
F = 1268.3, num df = 2.000, denom df = 85.377, p-value <
2.2e-16

           Df Pillai approx F num Df den Df    Pr(>F)    
Sp          2 1.1872   52.949      8    290 < 2.2e-16 ***
Residuals 147                                            
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
[1] "goodbye Greg...leaving R"
[1] "hello Greg...welcome to R"
     SL  SW  PL  PW
1   5.1 3.5 1.4 0.2
2   4.9 3.0 1.4 0.2
3   4.7 3.2 1.3 0.2
4   4.6 3.1 1.5 0.2
5   5.0 3.6 1.4 0.2
6   5.4 3.9 1.7 0.4
7   4.6 3.4 1.4 0.3
8   5.0 3.4 1.5 0.2
9   4.4 2.9 1.4 0.2
10  4.9 3.1 1.5 0.1
11  5.4 3.7 1.5 0.2
12  4.8 3.4 1.6 0.2
13  4.8 3.0 1.4 0.1
14  4.3 3.0 1.1 0.1
15  5.8 4.0 1.2 0.2
16  5.7 4.4 1.5 0.4
17  5.4 3.9 1.3 0.4
18  5.1 3.5 1.4 0.3
19  5.7 3.8 1.7 0.3
20  5.1 3.8 1.5 0.3
21  5.4 3.4 1.7 0.2
22  5.1 3.7 1.5 0.4
23  4.6 3.6 1.0 0.2
24  5.1 3.3 1.7 0.5
25  4.8 3.4 1.9 0.2
26  5.0 3.0 1.6 0.2
27  5.0 3.4 1.6 0.4
28  5.2 3.5 1.5 0.2
29  5.2 3.4 1.4 0.2
30  4.7 3.2 1.6 0.2
31  4.8 3.1 1.6 0.2
32  5.4 3.4 1.5 0.4
33  5.2 4.1 1.5 0.1
34  5.5 4.2 1.4 0.2
35  4.9 3.1 1.5 0.1
36  5.0 3.2 1.2 0.2
37  5.5 3.5 1.3 0.2
38  4.9 3.1 1.5 0.1
39  4.4 3.0 1.3 0.2
40  5.1 3.4 1.5 0.2
